                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.8587,                 0.5873,                 1.0103,                0.85184,                0.88369,                0.91818,                0.69084,                0.85403,                  0.545,                0.99534,              0.0006535,              0.0006535,              0.0006535
                     37,                0.86492,                0.58303,                 1.0076,                0.84211,                0.89888,                  0.918,                 0.6808,                0.87174,                0.54089,                 1.0011,              0.0006436,              0.0006436,              0.0006436
                     38,                0.85696,                0.57381,                  1.007,                0.84514,                0.88374,                0.91628,                0.68332,                 0.8672,                0.54095,                 1.0033,              0.0006337,              0.0006337,              0.0006337
                     39,                0.86322,                0.57766,                 1.0087,                 0.8472,                0.89786,                0.92186,                0.68993,                0.85843,                0.54314,                0.99287,              0.0006238,              0.0006238,              0.0006238
                     40,                 0.8568,                 0.5712,                 1.0046,                0.84373,                0.90224,                0.91945,                0.68681,                0.85624,                0.53611,                0.99644,              0.0006139,              0.0006139,              0.0006139
                     41,                0.84637,                 0.5668,                 1.0027,                0.85309,                 0.9052,                0.92339,                0.69245,                0.85453,                0.53249,                0.99557,               0.000604,               0.000604,               0.000604
                     42,                0.85259,                0.56895,                 1.0046,                0.85442,                 0.8905,                0.91604,                 0.6857,                 0.8554,                0.52998,                0.99772,              0.0005941,              0.0005941,              0.0005941
                     43,                0.84869,                 0.5634,                 1.0045,                0.84981,                0.90398,                0.92249,                0.69244,                0.85972,                0.53446,                0.99594,              0.0005842,              0.0005842,              0.0005842
                     44,                0.85105,                0.56358,                 1.0042,                0.84836,                0.90035,                0.92291,                0.69167,                0.85428,                0.53137,                0.99572,              0.0005743,              0.0005743,              0.0005743
                     45,                 0.8471,                0.55844,                 1.0024,                0.85446,                 0.8937,                0.92154,                0.69453,                0.85066,                0.53044,                0.99484,              0.0005644,              0.0005644,              0.0005644
                     46,                0.84042,                 0.5579,                 1.0001,                0.85649,                0.90229,                0.92356,                0.69573,                0.85739,                0.52042,                0.99492,              0.0005545,              0.0005545,              0.0005545
                     47,                0.84096,                0.55324,                 1.0033,                0.85822,                0.90732,                0.92475,                0.69758,                0.84823,                0.51806,                0.99341,              0.0005446,              0.0005446,              0.0005446
                     48,                0.83701,                0.55673,                0.99963,                0.85532,                0.90246,                0.92725,                0.70047,                0.85114,                0.51834,                 0.9925,              0.0005347,              0.0005347,              0.0005347
                     49,                0.84325,                0.55379,                 1.0017,                 0.8575,                0.89137,                0.92609,                0.69522,                0.85083,                0.52024,                0.99596,              0.0005248,              0.0005248,              0.0005248
